#Release 14.6 - par P.68d (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri Apr 23 11:25:22 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       sramtester_map.ncd
#OUTPUT FILE:      sramtester_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,sram_addr<7>,IOB,IO_L83N_VREF_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P2,sram_addr<6>,IOB,IO_L83P_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P3,,,GND,,,,,,,,,,,,
P4,,,VCCO_3,,,3,,,,,2.50,,,,
P5,sram_addr<5>,IOB,IO_L52N_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P6,mem,IOB,IO_L52P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P7,sram_addr<0>,IOB,IO_L51N_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P8,sram_addr<1>,IOB,IO_L51P_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P9,sram_addr<2>,IOB,IO_L50N_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P10,sram_addr<3>,IOB,IO_L50P_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P11,sram_addr<4>,IOB,IO_L49N_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P12,data_s2f_ur<4>,IOB,IO_L49P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P13,,,GND,,,,,,,,,,,,
P14,ready,IOB,IO_L44N_GCLK20_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P15,oe_n,IOB,IO_L44P_GCLK21_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P16,reset,IOB,IO_L43N_GCLK22_IRDY2_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P17,data_s2f_ur<7>,IOB,IO_L43P_GCLK23_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P18,,,VCCO_3,,,3,,,,,2.50,,,,
P19,,,VCCINT,,,,,,,,1.2,,,,
P20,,,VCCAUX,,,,,,,,2.5,,,,
P21,data_s2f_ur<6>,IOB,IO_L42N_GCLK24_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P22,data_s2f_ur<5>,IOB,IO_L42P_GCLK25_TRDY2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P23,lb_a_n,IOB,IO_L41N_GCLK26_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P24,data_s2f_ur<3>,IOB,IO_L41P_GCLK27_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P25,,,GND,,,,,,,,,,,,
P26,data_s2f_ur<2>,IOB,IO_L37N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P27,sram_addr<15>,IOB,IO_L37P_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,sram_addr<16>,IOB,IO_L36N_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P30,data_s2f_ur<1>,IOB,IO_L36P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P31,,,VCCO_3,,,3,,,,,2.50,,,,
P32,data_s2f_ur<0>,IOB,IO_L2N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P33,sram_addr<17>,IOB,IO_L2P_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P34,sram_addr<14>,IOB,IO_L1N_VREF_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P35,sram_addr<13>,IOB,IO_L1P_3,INPUT,LVTTL,3,,,,NONE,,LOCATED,NO,NONE,
P36,,,VCCAUX,,,,,,,,2.5,,,,
P37,,,PROGRAM_B_2,,,,,,,,,,,,
P38,,IOBS,IO_L65N_CSO_B_2,UNUSED,,2,,,,,,,,,
P39,,IOBM,IO_L65P_INIT_B_2,UNUSED,,2,,,,,,,,,
P40,sram_addr<12>,IOB,IO_L64N_D9_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P41,sram_addr<11>,IOB,IO_L64P_D8_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P42,,,VCCO_2,,,2,,,,,any******,,,,
P43,sram_addr<10>,IOB,IO_L62N_D6_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P44,,IOBM,IO_L62P_D5_2,UNUSED,,2,,,,,,,,,
P45,,IOBS,IO_L49N_D4_2,UNUSED,,2,,,,,,,,,
P46,,IOBM,IO_L49P_D3_2,UNUSED,,2,,,,,,,,,
P47,,IOBS,IO_L48N_RDWR_B_VREF_2,UNUSED,,2,,,,,,,,,
P48,,IOBM,IO_L48P_D7_2,UNUSED,,2,,,,,,,,,
P49,,,GND,,,,,,,,,,,,
P50,,IOBS,IO_L31N_GCLK30_D15_2,UNUSED,,2,,,,,,,,,
P51,,IOBM,IO_L31P_GCLK31_D14_2,UNUSED,,2,,,,,,,,,
P52,,,VCCINT,,,,,,,,1.2,,,,
P53,,,VCCAUX,,,,,,,,2.5,,,,
P54,,,GND,,,,,,,,,,,,
P55,,IOBS,IO_L30N_GCLK0_USERCCLK_2,UNUSED,,2,,,,,,,,,
P56,,IOBM,IO_L30P_GCLK1_D13_2,UNUSED,,2,,,,,,,,,
P57,,IOBS,IO_L14N_D12_2,UNUSED,,2,,,,,,,,,
P58,,IOBM,IO_L14P_D11_2,UNUSED,,2,,,,,,,,,
P59,,IOBS,IO_L13N_D10_2,UNUSED,,2,,,,,,,,,
P60,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,PROHIBITED,,,
P61,,IOBS,IO_L12N_D2_MISO3_2,UNUSED,,2,,,,,,,,,
P62,,IOBM,IO_L12P_D1_MISO2_2,UNUSED,,2,,,,,,,,,
P63,,,VCCO_2,,,2,,,,,any******,,,,
